"Notes"	"State"	"State Code"	"Gender"	"Gender Code"	"Year"	"Year Code"	"Month"	"Month Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	Deaths	Population	Crude Rate
	"Georgia"	"13"	"Male"	"M"	"2015"	"2015"	"Feb., 2015"	"2015/02"	"65-74 years"	"65-74"	770	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2015"	"2015"	"Feb., 2015"	"2015/02"	"75-84 years"	"75-84"	756	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2015"	"2015"	"Feb., 2015"	"2015/02"	"85+ years"	"85+"	537	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2015"	"2015"	"Mar., 2015"	"2015/03"	"65-74 years"	"65-74"	829	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2015"	"2015"	"Mar., 2015"	"2015/03"	"75-84 years"	"75-84"	786	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2015"	"2015"	"Mar., 2015"	"2015/03"	"85+ years"	"85+"	628	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2015"	"2015"	"Apr., 2015"	"2015/04"	"65-74 years"	"65-74"	748	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2015"	"2015"	"Apr., 2015"	"2015/04"	"75-84 years"	"75-84"	768	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2015"	"2015"	"Apr., 2015"	"2015/04"	"85+ years"	"85+"	529	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2015"	"2015"	"May, 2015"	"2015/05"	"65-74 years"	"65-74"	774	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2015"	"2015"	"May, 2015"	"2015/05"	"75-84 years"	"75-84"	737	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2015"	"2015"	"May, 2015"	"2015/05"	"85+ years"	"85+"	509	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2015"	"2015"	"Jun., 2015"	"2015/06"	"65-74 years"	"65-74"	748	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2015"	"2015"	"Jun., 2015"	"2015/06"	"75-84 years"	"75-84"	725	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2015"	"2015"	"Jun., 2015"	"2015/06"	"85+ years"	"85+"	470	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2015"	"2015"	"Jul., 2015"	"2015/07"	"65-74 years"	"65-74"	775	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2015"	"2015"	"Jul., 2015"	"2015/07"	"75-84 years"	"75-84"	746	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2015"	"2015"	"Jul., 2015"	"2015/07"	"85+ years"	"85+"	553	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2015"	"2015"	"Aug., 2015"	"2015/08"	"65-74 years"	"65-74"	760	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2015"	"2015"	"Aug., 2015"	"2015/08"	"75-84 years"	"75-84"	735	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2015"	"2015"	"Aug., 2015"	"2015/08"	"85+ years"	"85+"	509	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2015"	"2015"	"Sep., 2015"	"2015/09"	"65-74 years"	"65-74"	712	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2015"	"2015"	"Sep., 2015"	"2015/09"	"75-84 years"	"75-84"	725	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2015"	"2015"	"Sep., 2015"	"2015/09"	"85+ years"	"85+"	526	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2015"	"2015"	"Oct., 2015"	"2015/10"	"65-74 years"	"65-74"	792	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2015"	"2015"	"Oct., 2015"	"2015/10"	"75-84 years"	"75-84"	775	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2015"	"2015"	"Oct., 2015"	"2015/10"	"85+ years"	"85+"	529	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2015"	"2015"	"Nov., 2015"	"2015/11"	"65-74 years"	"65-74"	799	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2015"	"2015"	"Nov., 2015"	"2015/11"	"75-84 years"	"75-84"	746	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2015"	"2015"	"Nov., 2015"	"2015/11"	"85+ years"	"85+"	533	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2015"	"2015"	"Dec., 2015"	"2015/12"	"65-74 years"	"65-74"	835	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2015"	"2015"	"Dec., 2015"	"2015/12"	"75-84 years"	"75-84"	806	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2015"	"2015"	"Dec., 2015"	"2015/12"	"85+ years"	"85+"	664	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2016"	"2016"	"Jan., 2016"	"2016/01"	"65-74 years"	"65-74"	846	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2016"	"2016"	"Jan., 2016"	"2016/01"	"75-84 years"	"75-84"	842	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2016"	"2016"	"Jan., 2016"	"2016/01"	"85+ years"	"85+"	621	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2016"	"2016"	"Feb., 2016"	"2016/02"	"65-74 years"	"65-74"	849	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2016"	"2016"	"Feb., 2016"	"2016/02"	"75-84 years"	"75-84"	756	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2016"	"2016"	"Feb., 2016"	"2016/02"	"85+ years"	"85+"	558	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2016"	"2016"	"Mar., 2016"	"2016/03"	"65-74 years"	"65-74"	842	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2016"	"2016"	"Mar., 2016"	"2016/03"	"75-84 years"	"75-84"	789	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2016"	"2016"	"Mar., 2016"	"2016/03"	"85+ years"	"85+"	616	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2016"	"2016"	"Apr., 2016"	"2016/04"	"65-74 years"	"65-74"	814	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2016"	"2016"	"Apr., 2016"	"2016/04"	"75-84 years"	"75-84"	710	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2016"	"2016"	"Apr., 2016"	"2016/04"	"85+ years"	"85+"	542	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2016"	"2016"	"May, 2016"	"2016/05"	"65-74 years"	"65-74"	809	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2016"	"2016"	"May, 2016"	"2016/05"	"75-84 years"	"75-84"	754	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2016"	"2016"	"May, 2016"	"2016/05"	"85+ years"	"85+"	536	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2016"	"2016"	"Jun., 2016"	"2016/06"	"65-74 years"	"65-74"	737	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2016"	"2016"	"Jun., 2016"	"2016/06"	"75-84 years"	"75-84"	706	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2016"	"2016"	"Jun., 2016"	"2016/06"	"85+ years"	"85+"	517	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2016"	"2016"	"Jul., 2016"	"2016/07"	"65-74 years"	"65-74"	770	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2016"	"2016"	"Jul., 2016"	"2016/07"	"75-84 years"	"75-84"	728	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2016"	"2016"	"Jul., 2016"	"2016/07"	"85+ years"	"85+"	486	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2016"	"2016"	"Aug., 2016"	"2016/08"	"65-74 years"	"65-74"	806	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2016"	"2016"	"Aug., 2016"	"2016/08"	"75-84 years"	"75-84"	774	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2016"	"2016"	"Aug., 2016"	"2016/08"	"85+ years"	"85+"	556	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2016"	"2016"	"Sep., 2016"	"2016/09"	"65-74 years"	"65-74"	791	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2016"	"2016"	"Sep., 2016"	"2016/09"	"75-84 years"	"75-84"	737	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2016"	"2016"	"Sep., 2016"	"2016/09"	"85+ years"	"85+"	521	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2016"	"2016"	"Oct., 2016"	"2016/10"	"65-74 years"	"65-74"	794	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2016"	"2016"	"Oct., 2016"	"2016/10"	"75-84 years"	"75-84"	771	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2016"	"2016"	"Oct., 2016"	"2016/10"	"85+ years"	"85+"	536	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2016"	"2016"	"Nov., 2016"	"2016/11"	"65-74 years"	"65-74"	836	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2016"	"2016"	"Nov., 2016"	"2016/11"	"75-84 years"	"75-84"	747	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2016"	"2016"	"Nov., 2016"	"2016/11"	"85+ years"	"85+"	590	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2016"	"2016"	"Dec., 2016"	"2016/12"	"65-74 years"	"65-74"	918	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2016"	"2016"	"Dec., 2016"	"2016/12"	"75-84 years"	"75-84"	849	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2016"	"2016"	"Dec., 2016"	"2016/12"	"85+ years"	"85+"	661	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2017"	"2017"	"Jan., 2017"	"2017/01"	"65-74 years"	"65-74"	903	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2017"	"2017"	"Jan., 2017"	"2017/01"	"75-84 years"	"75-84"	860	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2017"	"2017"	"Jan., 2017"	"2017/01"	"85+ years"	"85+"	677	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2017"	"2017"	"Feb., 2017"	"2017/02"	"65-74 years"	"65-74"	796	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2017"	"2017"	"Feb., 2017"	"2017/02"	"75-84 years"	"75-84"	836	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2017"	"2017"	"Feb., 2017"	"2017/02"	"85+ years"	"85+"	544	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2017"	"2017"	"Mar., 2017"	"2017/03"	"65-74 years"	"65-74"	826	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2017"	"2017"	"Mar., 2017"	"2017/03"	"75-84 years"	"75-84"	861	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2017"	"2017"	"Mar., 2017"	"2017/03"	"85+ years"	"85+"	669	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2017"	"2017"	"Apr., 2017"	"2017/04"	"65-74 years"	"65-74"	812	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2017"	"2017"	"Apr., 2017"	"2017/04"	"75-84 years"	"75-84"	759	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2017"	"2017"	"Apr., 2017"	"2017/04"	"85+ years"	"85+"	598	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2017"	"2017"	"May, 2017"	"2017/05"	"65-74 years"	"65-74"	855	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2017"	"2017"	"May, 2017"	"2017/05"	"75-84 years"	"75-84"	779	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2017"	"2017"	"May, 2017"	"2017/05"	"85+ years"	"85+"	564	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2017"	"2017"	"Jun., 2017"	"2017/06"	"65-74 years"	"65-74"	761	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2017"	"2017"	"Jun., 2017"	"2017/06"	"75-84 years"	"75-84"	743	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2017"	"2017"	"Jun., 2017"	"2017/06"	"85+ years"	"85+"	563	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2017"	"2017"	"Jul., 2017"	"2017/07"	"65-74 years"	"65-74"	815	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2017"	"2017"	"Jul., 2017"	"2017/07"	"75-84 years"	"75-84"	764	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2017"	"2017"	"Jul., 2017"	"2017/07"	"85+ years"	"85+"	522	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2017"	"2017"	"Aug., 2017"	"2017/08"	"65-74 years"	"65-74"	823	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2017"	"2017"	"Aug., 2017"	"2017/08"	"75-84 years"	"75-84"	720	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2017"	"2017"	"Aug., 2017"	"2017/08"	"85+ years"	"85+"	532	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2017"	"2017"	"Sep., 2017"	"2017/09"	"65-74 years"	"65-74"	800	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2017"	"2017"	"Sep., 2017"	"2017/09"	"75-84 years"	"75-84"	739	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2017"	"2017"	"Sep., 2017"	"2017/09"	"85+ years"	"85+"	544	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2017"	"2017"	"Oct., 2017"	"2017/10"	"65-74 years"	"65-74"	790	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2017"	"2017"	"Oct., 2017"	"2017/10"	"75-84 years"	"75-84"	810	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2017"	"2017"	"Oct., 2017"	"2017/10"	"85+ years"	"85+"	618	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2017"	"2017"	"Nov., 2017"	"2017/11"	"65-74 years"	"65-74"	873	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2017"	"2017"	"Nov., 2017"	"2017/11"	"75-84 years"	"75-84"	803	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2017"	"2017"	"Nov., 2017"	"2017/11"	"85+ years"	"85+"	606	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2017"	"2017"	"Dec., 2017"	"2017/12"	"65-74 years"	"65-74"	894	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2017"	"2017"	"Dec., 2017"	"2017/12"	"75-84 years"	"75-84"	872	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2017"	"2017"	"Dec., 2017"	"2017/12"	"85+ years"	"85+"	660	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2018"	"2018"	"Jan., 2018"	"2018/01"	"65-74 years"	"65-74"	1070	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2018"	"2018"	"Jan., 2018"	"2018/01"	"75-84 years"	"75-84"	1122	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2018"	"2018"	"Jan., 2018"	"2018/01"	"85+ years"	"85+"	780	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2018"	"2018"	"Feb., 2018"	"2018/02"	"65-74 years"	"65-74"	826	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2018"	"2018"	"Feb., 2018"	"2018/02"	"75-84 years"	"75-84"	903	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2018"	"2018"	"Feb., 2018"	"2018/02"	"85+ years"	"85+"	603	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2018"	"2018"	"Mar., 2018"	"2018/03"	"65-74 years"	"65-74"	875	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2018"	"2018"	"Mar., 2018"	"2018/03"	"75-84 years"	"75-84"	861	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2018"	"2018"	"Mar., 2018"	"2018/03"	"85+ years"	"85+"	628	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2018"	"2018"	"Apr., 2018"	"2018/04"	"65-74 years"	"65-74"	880	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2018"	"2018"	"Apr., 2018"	"2018/04"	"75-84 years"	"75-84"	839	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2018"	"2018"	"Apr., 2018"	"2018/04"	"85+ years"	"85+"	603	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2018"	"2018"	"May, 2018"	"2018/05"	"65-74 years"	"65-74"	830	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2018"	"2018"	"May, 2018"	"2018/05"	"75-84 years"	"75-84"	820	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2018"	"2018"	"May, 2018"	"2018/05"	"85+ years"	"85+"	566	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2018"	"2018"	"Jun., 2018"	"2018/06"	"65-74 years"	"65-74"	786	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2018"	"2018"	"Jun., 2018"	"2018/06"	"75-84 years"	"75-84"	726	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2018"	"2018"	"Jun., 2018"	"2018/06"	"85+ years"	"85+"	549	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2018"	"2018"	"Jul., 2018"	"2018/07"	"65-74 years"	"65-74"	844	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2018"	"2018"	"Jul., 2018"	"2018/07"	"75-84 years"	"75-84"	740	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2018"	"2018"	"Jul., 2018"	"2018/07"	"85+ years"	"85+"	550	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2018"	"2018"	"Aug., 2018"	"2018/08"	"65-74 years"	"65-74"	862	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2018"	"2018"	"Aug., 2018"	"2018/08"	"75-84 years"	"75-84"	802	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2018"	"2018"	"Aug., 2018"	"2018/08"	"85+ years"	"85+"	616	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2018"	"2018"	"Sep., 2018"	"2018/09"	"65-74 years"	"65-74"	763	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2018"	"2018"	"Sep., 2018"	"2018/09"	"75-84 years"	"75-84"	749	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2018"	"2018"	"Sep., 2018"	"2018/09"	"85+ years"	"85+"	546	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2018"	"2018"	"Oct., 2018"	"2018/10"	"65-74 years"	"65-74"	836	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2018"	"2018"	"Oct., 2018"	"2018/10"	"75-84 years"	"75-84"	814	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2018"	"2018"	"Oct., 2018"	"2018/10"	"85+ years"	"85+"	594	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2018"	"2018"	"Nov., 2018"	"2018/11"	"65-74 years"	"65-74"	865	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2018"	"2018"	"Nov., 2018"	"2018/11"	"75-84 years"	"75-84"	817	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2018"	"2018"	"Nov., 2018"	"2018/11"	"85+ years"	"85+"	596	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2018"	"2018"	"Dec., 2018"	"2018/12"	"65-74 years"	"65-74"	912	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2018"	"2018"	"Dec., 2018"	"2018/12"	"75-84 years"	"75-84"	954	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2018"	"2018"	"Dec., 2018"	"2018/12"	"85+ years"	"85+"	675	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2019"	"2019"	"Jan., 2019"	"2019/01"	"65-74 years"	"65-74"	970	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2019"	"2019"	"Jan., 2019"	"2019/01"	"75-84 years"	"75-84"	876	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2019"	"2019"	"Jan., 2019"	"2019/01"	"85+ years"	"85+"	637	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2019"	"2019"	"Feb., 2019"	"2019/02"	"65-74 years"	"65-74"	837	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2019"	"2019"	"Feb., 2019"	"2019/02"	"75-84 years"	"75-84"	772	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2019"	"2019"	"Feb., 2019"	"2019/02"	"85+ years"	"85+"	592	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2019"	"2019"	"Mar., 2019"	"2019/03"	"65-74 years"	"65-74"	933	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2019"	"2019"	"Mar., 2019"	"2019/03"	"75-84 years"	"75-84"	873	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2019"	"2019"	"Mar., 2019"	"2019/03"	"85+ years"	"85+"	632	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2019"	"2019"	"Apr., 2019"	"2019/04"	"65-74 years"	"65-74"	849	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2019"	"2019"	"Apr., 2019"	"2019/04"	"75-84 years"	"75-84"	931	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2019"	"2019"	"Apr., 2019"	"2019/04"	"85+ years"	"85+"	614	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2019"	"2019"	"May, 2019"	"2019/05"	"65-74 years"	"65-74"	840	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2019"	"2019"	"May, 2019"	"2019/05"	"75-84 years"	"75-84"	845	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2019"	"2019"	"May, 2019"	"2019/05"	"85+ years"	"85+"	590	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2019"	"2019"	"Jun., 2019"	"2019/06"	"65-74 years"	"65-74"	816	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2019"	"2019"	"Jun., 2019"	"2019/06"	"75-84 years"	"75-84"	831	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2019"	"2019"	"Jun., 2019"	"2019/06"	"85+ years"	"85+"	597	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2019"	"2019"	"Jul., 2019"	"2019/07"	"65-74 years"	"65-74"	908	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2019"	"2019"	"Jul., 2019"	"2019/07"	"75-84 years"	"75-84"	900	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2019"	"2019"	"Jul., 2019"	"2019/07"	"85+ years"	"85+"	566	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2019"	"2019"	"Aug., 2019"	"2019/08"	"65-74 years"	"65-74"	883	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2019"	"2019"	"Aug., 2019"	"2019/08"	"75-84 years"	"75-84"	820	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2019"	"2019"	"Aug., 2019"	"2019/08"	"85+ years"	"85+"	580	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2019"	"2019"	"Sep., 2019"	"2019/09"	"65-74 years"	"65-74"	794	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2019"	"2019"	"Sep., 2019"	"2019/09"	"75-84 years"	"75-84"	794	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2019"	"2019"	"Sep., 2019"	"2019/09"	"85+ years"	"85+"	621	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2019"	"2019"	"Oct., 2019"	"2019/10"	"65-74 years"	"65-74"	870	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2019"	"2019"	"Oct., 2019"	"2019/10"	"75-84 years"	"75-84"	873	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2019"	"2019"	"Oct., 2019"	"2019/10"	"85+ years"	"85+"	623	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2019"	"2019"	"Nov., 2019"	"2019/11"	"65-74 years"	"65-74"	904	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2019"	"2019"	"Nov., 2019"	"2019/11"	"75-84 years"	"75-84"	858	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2019"	"2019"	"Nov., 2019"	"2019/11"	"85+ years"	"85+"	668	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2019"	"2019"	"Dec., 2019"	"2019/12"	"65-74 years"	"65-74"	912	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2019"	"2019"	"Dec., 2019"	"2019/12"	"75-84 years"	"75-84"	932	Not Applicable	Not Applicable
	"Georgia"	"13"	"Male"	"M"	"2019"	"2019"	"Dec., 2019"	"2019/12"	"85+ years"	"85+"	633	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"2015"	"2015"	"Jan., 2015"	"2015/01"	"65-74 years"	"65-74"	54	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"2015"	"2015"	"Jan., 2015"	"2015/01"	"75-84 years"	"75-84"	108	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"2015"	"2015"	"Jan., 2015"	"2015/01"	"85+ years"	"85+"	263	Not Applicable	Not Applicable
